Country,ratio,Temp,CO2
Mauritania,1,-1.2099999999999795,1.0699999999999994
Mauritania,2,0.7799999999999727,2.1399999999999997
Mauritania,3,25.840000000000003,5.909999999999998
Mexico,1,-2.4633333333333383,261.7500000000002
Mexico,2,1.9333333333333371,306.5100000000002
Mexico,3,19.623333333333335,547.6999999999998
Mongolia,1,-5.42,1.7900000000000063
Mongolia,2,3.3500000000000005,16.669999999999995
Mongolia,3,-7.949999999999999,37.870000000000005
Morocco,1,-0.960000000000008,36.79000000000002
Morocco,2,-1.6500000000000057,50.26999999999998
Morocco,3,18.97999999999999,116.5
Mozambique,1,0.6699999999999875,2.1400000000000006
Mozambique,2,-0.4999999999999858,2.3200000000000003
Mozambique,3,25.63000000000001,12.009999999999998
Myanmar (Burma),1,26.69999999999999,0.0
Myanmar (Burma),2,1.289999999999992,0.0
Myanmar (Burma),3,27.70999999999998,0.0
Namibia,1,5.980000000000004,1.5199999999999996
Namibia,2,-9.149999999999991,2.5
Namibia,3,22.320000000000007,8.399999999999999
Nepal,1,5.410000000000011,3.83
Nepal,2,2.0600000000000023,0.0600000000000005
Nepal,3,16.399999999999977,20.149999999999995
New Zealand,1,-1.2399999999999949,25.359999999999985
New Zealand,2,0.5,8.539999999999992
New Zealand,3,16.310000000000002,21.57000000000002
Nicaragua,1,2.3200000000000216,5.239999999999998
Nicaragua,2,-0.5100000000000193,1.5399999999999991
Nicaragua,3,28.460000000000008,6.16
Nigeria,1,-4.849999999999994,21.079999999999927
Nigeria,2,1.5,21.899999999999977
Nigeria,3,27.82000000000002,182.0300000000001
North Korea,1,-0.9699999999999989,12.0
North Korea,2,2.260000000000005,-14.109999999999957
North Korea,3,9.310000000000002,-138.66000000000003
Norway,1,2.9200000000000017,-1.950000000000017
Norway,2,2.3100000000000023,8.340000000000003
Norway,3,1.9600000000000009,50.00999999999999
Oman,1,81.46,91.81
Oman,2,27.080000000000013,81.82
Oman,3,28.119999999999976,162.03000000000006
Pakistan,1,4.2250000000000085,77.99999999999994
Pakistan,2,-2.335000000000008,162.91999999999996
Pakistan,3,24.24000000000001,200.66000000000008
Panama,1,1.9799999999999898,3.91
Panama,2,-2.0999999999999943,10.040000000000003
Panama,3,28.669999999999987,24.14
Peru,1,-5.890000000000015,4.010000000000019
Peru,2,2.7600000000000193,36.19999999999999
Peru,3,21.69999999999999,121.89000000000001
Philippines,1,1.1499999999999773,16.909999999999968
Philippines,2,0.17000000000001592,8.829999999999984
Philippines,3,29.53,194.26000000000005
Poland,1,3.539999999999999,-191.23000000000002
Poland,2,2.009999999999998,58.2800000000002
Poland,3,8.88000000000001,266.40999999999985
Portugal,1,-3.6400000000000006,43.129999999999995
Portugal,2,1.4299999999999926,-13.439999999999998
Portugal,3,14.320000000000007,-6.490000000000009
Qatar,1,2.2500000000000284,35.499999999999986
Qatar,2,0.22999999999998977,116.07
Qatar,3,31.830000000000013,189.92999999999995
Romania,1,3.6599999999999966,-70.05999999999995
Romania,2,1.3999999999999986,-6.010000000000105
Romania,3,12.160000000000004,-7.419999999999959
Russia,1,-3.9250000000000185,127.0600000000004
Russia,2,-12.06499999999999,292.6999999999998
Russia,3,8.07,1879.449999999999
Saudi Arabia,1,0.6449999999999818,195.80999999999995
Saudi Arabia,2,1.585000000000008,434.5500000000002
Saudi Arabia,3,27.829999999999984,1215.2599999999998
Senegal,1,0.10999999999998522,6.510000000000002
Senegal,2,1.190000000000012,7.520000000000003
Senegal,3,25.179999999999993,17.43
Serbia-Montenegro,1,6.289999999999999,0.0
Sierra Leone,1,-0.980000000000004,0.8999999999999997
Sierra Leone,2,55.28,1.0700000000000003
Sierra Leone,3,-82.59,-1.3900000000000001
Singapore,1,-0.4900000000000091,9.359999999999985
Singapore,2,-0.030000000000001137,-14.450000000000045
Singapore,3,28.47999999999999,75.14000000000004
Slovakia,1,4.170000000000002,-18.360000000000014
Slovakia,2,0.7600000000000051,-5.999999999999972
Slovakia,3,11.900000000000006,11.579999999999984
South Africa,1,1.5400000000000205,267.76
South Africa,2,0.8099999999999881,314.8499999999997
South Africa,3,17.709999999999994,585.9900000000002
South Korea,1,0.7299999999999969,347.3800000000001
South Korea,2,1.1999999999999957,169.4399999999996
South Korea,3,11.82,1053.56
Spain,1,-0.5433333333333366,301.25
Spain,2,0.14999999999999147,103.54000000000019
Spain,3,17.406666666666666,-101.65000000000009
Sri Lanka,1,-1.710000000000008,17.81000000000001
Sri Lanka,2,0.5200000000000102,6.640000000000008
Sri Lanka,3,28.039999999999992,32.67999999999999
Suriname,1,3.0200000000000387,-3.7200000000000015
Suriname,2,-2.210000000000008,0.8000000000000007
Suriname,3,26.53,6.2700000000000005
Sweden,1,3.559999999999995,-26.299999999999955
Sweden,2,-0.09999999999999432,-33.31000000000003
Sweden,3,5.109999999999999,18.440000000000026
Switzerland,1,2.8600000000000136,3.5800000000000125
Switzerland,2,-0.09000000000000341,0.9399999999999977
Switzerland,3,9.453333333333326,27.609999999999985
Syria,1,1.9500000000000028,22.80000000000001
Syria,2,-1.019999999999996,89.98999999999998
Syria,3,21.019999999999982,-54.51999999999998
Taiwan,1,2.9599999999999795,0.0
Taiwan,2,0.3900000000000148,0.0
Taiwan,3,22.069999999999993,0.0
Tajikistan,1,-3.5,-1.33
Tajikistan,2,-0.6099999999999994,2.5600000000000023
Tajikistan,3,15.39,6.549999999999995
Tanzania,1,0.6900000000000261,4.609999999999999
Tanzania,2,2.1200000000000045,11.170000000000002
Tanzania,3,27.95999999999998,28.479999999999997
Thailand,1,28.33,248.91000000000008
Thailand,2,1.089999999999975,190.51999999999998
Thailand,3,-87.71999999999997,-637.82
The Netherlands,1,2.8599999999999994,6.5200000000000955
The Netherlands,2,1.3599999999999994,-17.58000000000004
The Netherlands,3,8.200000000000003,130.42999999999995
Togo,1,-0.6899999999999977,1.3900000000000006
Togo,2,0.3499999999999943,1.8100000000000005
Togo,3,27.909999999999997,3.3199999999999985
Tunisia,1,1.0799999999999983,17.429999999999993
Tunisia,2,-0.13000000000002387,12.600000000000009
Tunisia,3,21.080000000000013,43.5
Turkey,1,1.2399999999999949,132.26
Turkey,2,1.7199999999999989,293.81999999999994
Turkey,3,16.215000000000003,594.0200000000002
Turkmenistan,1,0.5499999999999972,46.65999999999997
Turkmenistan,2,0.35999999999999943,55.440000000000055
Turkmenistan,3,19.629999999999995,134.89999999999992
US,1,0.43538961038962043,1360.4800000000032
US,2,0.8031551695638512,-643.6599999999999
US,3,14.408197627794564,2814.230000000003
Uganda,1,-0.1700000000000017,1.8400000000000007
Uganda,2,0.3499999999999943,6.749999999999998
Uganda,3,23.710000000000036,11.43
Ukraine,1,3.8100000000000023,-149.38999999999987
Ukraine,2,0.6099999999999994,-74.08000000000015
Ukraine,3,9.96,62.18999999999983
United Arab Emirates,1,2.1200000000000045,92.68000000000006
United Arab Emirates,2,-0.07500000000001705,190.37999999999988
United Arab Emirates,3,32.43000000000001,384.0400000000002
United Kingdom,1,-2.299999999999997,50.5600000000004
United Kingdom,2,-0.6900000000000048,-98.30000000000018
United Kingdom,3,12.324999999999996,70.63999999999987
Uruguay,1,3.1400000000000006,-3.370000000000001
Uruguay,2,1.230000000000004,8.119999999999997
Uruguay,3,18.44999999999999,9.850000000000001
Uzbekistan,1,4.460000000000008,89.20999999999992
Uzbekistan,2,0.2599999999999909,-15.909999999999968
Uzbekistan,3,14.240000000000009,85.31000000000006
Venezuela,1,5.090000000000003,54.60000000000002
Venezuela,2,1.049999999999983,89.56000000000006
Venezuela,3,25.380000000000024,287.76
Vietnam,1,-2.3600000000000136,132.75999999999993
Vietnam,2,1.769999999999996,215.09000000000003
Vietnam,3,24.709999999999994,434.60000000000014
Yugoslavia,1,4.420000000000002,0.0
Yugoslavia,2,-0.22999999999998977,0.0
Yugoslavia,3,15.299999999999983,0.0
Zambia,1,-5.260000000000005,-0.33999999999999986
Zambia,2,-8.240000000000009,1.3400000000000016
Zambia,3,4.349999999999994,7.659999999999997
